x,y,z,t
-4.06659,3.94549,0.0215819,1.35
-4.1061,3.91249,0.0214751,1.36
-4.14527,3.87902,0.0213702,1.37
-4.18411,3.8451,0.0212672,1.38
-4.2226,3.81072,0.021166,1.39
-4.26074,3.77589,0.0210667,1.4
-4.29854,3.74061,0.0209692,1.41
-4.33597,3.70488,0.0208735,1.42
-4.37305,3.66871,0.0207795,1.43
-4.40976,3.6321,0.0206872,1.44
-4.4461,3.59504,0.0205966,1.45
-4.48207,3.55756,0.0205077,1.46
-4.51766,3.51963,0.0204204,1.47
-4.55287,3.48128,0.0203347,1.48
-4.58769,3.4425,0.0202506,1.49
-4.62213,3.4033,0.0201681,1.5
-4.65616,3.36367,0.0200871,1.51
-4.6898,3.32363,0.0200076,1.52
-4.72303,3.28317,0.0199296,1.53
-4.75586,3.24231,0.019853,1.54
-4.78828,3.20103,0.0197779,1.55
-4.82027,3.15934,0.0197043,1.56
-4.85185,3.11726,0.019632,1.57
-4.88301,3.07478,0.0195612,1.58
-4.91374,3.0319,0.0194917,1.59
-4.94404,2.98863,0.0194236,1.6
-4.9739,2.94498,0.0193568,1.61
-5.00332,2.90094,0.0192913,1.62
-5.0323,2.85651,0.0192272,1.63
-5.06084,2.81172,0.0191643,1.64
-5.08892,2.76655,0.0191027,1.65
-5.11655,2.72101,0.0190423,1.66
-5.14372,2.6751,0.0189832,1.67
-5.17043,2.62883,0.0189254,1.68
-5.19667,2.58221,0.0188687,1.69
-5.22245,2.53523,0.0188132,1.7
-5.24775,2.4879,0.018759,1.71
-5.27258,2.44023,0.0187059,1.72
-5.29693,2.39221,0.0186539,1.73
-5.3208,2.34386,0.0186031,1.74
-5.34418,2.29517,0.0185535,1.75
-5.36707,2.24616,0.018505,1.76
-5.38947,2.19682,0.0184576,1.77
-5.41138,2.14716,0.0184113,1.78
-5.43278,2.09718,0.0183661,1.79
-5.45369,2.04689,0.018322,1.8
-5.47408,1.9963,0.0182789,1.81
-5.49398,1.9454,0.018237,1.82
-5.51336,1.8942,0.018196,1.83
-5.53222,1.84271,0.0181562,1.84
-5.55057,1.79093,0.0181174,1.85
-5.5684,1.73886,0.0180796,1.86
-5.58571,1.68652,0.0180428,1.87
-5.60249,1.63389,0.018007,1.88
-5.61875,1.581,0.0179723,1.89
-5.63447,1.52785,0.0179386,1.9
-5.64966,1.47443,0.0179058,1.91
-5.66432,1.42075,0.0178741,1.92
-5.67843,1.36682,0.0178433,1.93
-5.69201,1.31265,0.0178135,1.94
-5.70504,1.25824,0.0177847,1.95
-5.71753,1.20359,0.0177568,1.96
-5.72947,1.1487,0.0177299,1.97
-5.74086,1.09359,0.0177039,1.98
-5.75169,1.03826,0.0176789,1.99
-5.76198,0.982713,0.0176549,2
-5.7717,0.926954,0.0176317,2.01
-5.78087,0.870989,0.0176095,2.02
-5.78947,0.814823,0.0175883,2.03
-5.79751,0.75846,0.0175679,2.04
-5.80499,0.701908,0.0175485,2.05
-5.8119,0.64517,0.01753,2.06
-5.81825,0.588252,0.0175124,2.07
-5.82402,0.53116,0.0174958,2.08
-5.82922,0.473898,0.01748,2.09
-5.83384,0.416473,0.0174652,2.1
-5.8379,0.358889,0.0174512,2.11
-5.84137,0.301152,0.0174381,2.12
-5.84427,0.243268,0.017426,2.13
-5.84658,0.185242,0.0174147,2.14
-5.84832,0.127079,0.0174044,2.15
-5.84947,0.0687858,0.0173949,2.16
-5.85004,0.0103669,0.0173863,2.17
-5.85003,-0.0481717,0.0173787,2.18
-5.84943,-0.106824,0.0173719,2.19
-5.84824,-0.165586,0.017366,2.2
-5.84646,-0.22445,0.0173609,2.21
-5.8441,-0.283411,0.0173568,2.22
-5.84114,-0.342463,0.0173536,2.23
-5.83759,-0.401602,0.0173512,2.24
-5.83346,-0.46082,0.0173497,2.25
-5.82872,-0.520112,0.0173492,2.26
-5.8234,-0.579473,0.0173495,2.27
-5.81748,-0.638896,0.0173507,2.28
-5.81097,-0.698376,0.0173527,2.29
-5.80386,-0.757907,0.0173557,2.3
