x,y,z,t
-0.128664,0.111584,0.0345127,1.31
-0.130119,0.110513,0.0345012,1.32
-0.131564,0.109424,0.0344898,1.33
-0.132998,0.108319,0.0344786,1.34
-0.13442,0.107197,0.0344675,1.35
-0.135831,0.106059,0.0344566,1.36
-0.13723,0.104905,0.0344459,1.37
-0.138618,0.103734,0.0344352,1.38
-0.139994,0.102548,0.0344248,1.39
-0.141357,0.101345,0.0344144,1.4
-0.142709,0.100126,0.0344042,1.41
-0.144048,0.0988911,0.0343942,1.42
-0.145374,0.0976406,0.0343842,1.43
-0.146688,0.0963742,0.0343744,1.44
-0.147989,0.0950923,0.0343647,1.45
-0.149277,0.0937949,0.0343551,1.46
-0.150552,0.092482,0.0343456,1.47
-0.151814,0.0911538,0.0343363,1.48
-0.153062,0.0898104,0.034327,1.49
-0.154297,0.0884518,0.0343179,1.5
-0.155517,0.0870783,0.0343089,1.51
-0.156724,0.0856898,0.0343,1.52
-0.157917,0.0842866,0.0342912,1.53
-0.159096,0.0828687,0.0342825,1.54
-0.16026,0.0814362,0.0342739,1.55
-0.16141,0.0799892,0.0342654,1.56
-0.162545,0.078528,0.034257,1.57
-0.163666,0.0770525,0.0342487,1.58
-0.164771,0.0755629,0.0342406,1.59
-0.165862,0.0740594,0.0342325,1.6
-0.166937,0.072542,0.0342245,1.61
-0.167997,0.0710108,0.0342166,1.62
-0.169041,0.0694661,0.0342088,1.63
-0.17007,0.0679079,0.0342012,1.64
-0.171083,0.0663364,0.0341936,1.65
-0.172081,0.0647516,0.0341861,1.66
-0.173062,0.0631538,0.0341787,1.67
-0.174027,0.0615431,0.0341714,1.68
-0.174976,0.0599195,0.0341642,1.69
-0.175909,0.0582833,0.0341571,1.7
-0.176825,0.0566345,0.0341501,1.71
-0.177725,0.0549733,0.0341432,1.72
-0.178608,0.0532999,0.0341365,1.73
-0.179473,0.0516144,0.0341298,1.74
-0.180322,0.049917,0.0341232,1.75
-0.181154,0.0482077,0.0341167,1.76
-0.181969,0.0464868,0.0341102,1.77
-0.182766,0.0447543,0.0341039,1.78
-0.183546,0.0430105,0.0340977,1.79
-0.184308,0.0412555,0.0340916,1.8
-0.185053,0.0394894,0.0340856,1.81
-0.18578,0.0377124,0.0340797,1.82
-0.186489,0.0359247,0.0340739,1.83
-0.18718,0.0341264,0.0340682,1.84
-0.187853,0.0323177,0.0340626,1.85
-0.188507,0.0304987,0.0340571,1.86
-0.189144,0.0286696,0.0340517,1.87
-0.189762,0.0268306,0.0340464,1.88
-0.190361,0.0249817,0.0340412,1.89
-0.190942,0.0231233,0.0340361,1.9
-0.191504,0.0212555,0.0340311,1.91
-0.192048,0.0193783,0.0340262,1.92
-0.192572,0.0174921,0.0340214,1.93
-0.193078,0.0155969,0.0340167,1.94
-0.193565,0.013693,0.0340121,1.95
-0.194032,0.0117804,0.0340077,1.96
-0.19448,0.0098595,0.0340033,1.97
-0.194909,0.00793033,0.033999,1.98
-0.195319,0.0059931,0.0339949,1.99
-0.195709,0.00404798,0.0339908,2
-0.19608,0.00209517,0.0339869,2.01
-0.196431,0.000134831,0.033983,2.02
-0.196762,-0.00183284,0.0339793,2.03
-0.197074,-0.00380768,0.0339757,2.04
-0.197365,-0.00578948,0.0339722,2.05
-0.197637,-0.00777808,0.0339688,2.06
-0.197889,-0.00977328,0.0339655,2.07
-0.198121,-0.0117749,0.0339623,2.08
-0.198333,-0.0137827,0.0339592,2.09
-0.198524,-0.0157966,0.0339562,2.1
-0.198696,-0.0178163,0.0339534,2.11
-0.198847,-0.0198417,0.0339506,2.12
-0.198978,-0.0218726,0.033948,2.13
-0.199089,-0.0239087,0.0339454,2.14
-0.199179,-0.0259499,0.033943,2.15
-0.199249,-0.027996,0.0339407,2.16
-0.199298,-0.0300468,0.0339385,2.17
-0.199326,-0.0321021,0.0339364,2.18
-0.199334,-0.0341617,0.0339345,2.19
-0.199322,-0.0362254,0.0339326,2.2
-0.199289,-0.038293,0.0339309,2.21
-0.199235,-0.0403643,0.0339293,2.22
-0.19916,-0.042439,0.0339278,2.23
-0.199064,-0.0445171,0.0339264,2.24
-0.198948,-0.0465983,0.0339251,2.25
-0.198811,-0.0486824,0.0339239,2.26
-0.198653,-0.0507692,0.0339229,2.27
-0.198474,-0.0528585,0.0339219,2.28
-0.198274,-0.0549501,0.0339211,2.29
-0.198053,-0.0570437,0.0339204,2.3
-0.197812,-0.0591392,0.0339198,2.31
-0.197549,-0.0612364,0.0339194,2.32
-0.197265,-0.0633351,0.033919,2.33
-0.196961,-0.065435,0.0339188,2.34
-0.196635,-0.067536,0.0339187,2.35
-0.196288,-0.0696378,0.0339187,2.36
-0.195921,-0.0717402,0.0339188,2.37
-0.195532,-0.0738431,0.033919,2.38
-0.195122,-0.0759462,0.0339194,2.39
-0.194691,-0.0780492,0.0339198,2.4
-0.194239,-0.0801521,0.0339204,2.41
-0.193767,-0.0822546,0.0339211,2.42
-0.193273,-0.0843564,0.033922,2.43
-0.192758,-0.0864574,0.0339229,2.44
-0.192222,-0.0885573,0.033924,2.45
-0.191665,-0.090656,0.0339252,2.46
-0.191088,-0.0927532,0.0339265,2.47
-0.190489,-0.0948487,0.0339279,2.48
-0.189869,-0.0969423,0.0339294,2.49
-0.189229,-0.0990337,0.0339311,2.5
-0.188567,-0.101123,0.0339329,2.51
-0.187885,-0.10321,0.0339348,2.52
-0.187182,-0.105293,0.0339368,2.53
-0.186458,-0.107374,0.0339389,2.54
-0.185713,-0.109452,0.0339412,2.55
-0.184947,-0.111526,0.0339436,2.56
-0.184161,-0.113597,0.0339461,2.57
-0.183354,-0.115664,0.0339487,2.58
-0.182527,-0.117727,0.0339514,2.59
